ACS_Code,latitude,longitude,date,river_discharge,river_discharge_mean,river_discharge_max,river_discharge_p75
35437,34.63745047279644,36.33692453260835,2026-07-08,0.2919,0.252,0.3368,0.252
35437,34.63745047279644,36.33692453260835,2026-07-09,0.2919,0.252,0.3143,0.252
35437,34.63745047279644,36.33692453260835,2026-07-10,0.2807,0.2423,0.2919,0.2423
35437,34.63745047279644,36.33692453260835,2026-07-11,0.2807,0.2423,0.2919,0.2423
35437,34.63745047279644,36.33692453260835,2026-07-12,0.2807,0.2423,0.2807,0.2423
35516,34.56098152985892,36.33410150896415,2026-07-06,0.2939,0.2515,0.2939,0.2515
35516,34.56098152985892,36.33410150896415,2026-07-07,0.2939,0.2515,0.2939,0.2515
35516,34.56098152985892,36.33410150896415,2026-07-08,0.2939,0.2515,0.3391,0.2515
35516,34.56098152985892,36.33410150896415,2026-07-09,0.2939,0.2515,0.3165,0.2515
35516,34.56098152985892,36.33410150896415,2026-07-10,0.2826,0.2419,0.2939,0.2419
35516,34.56098152985892,36.33410150896415,2026-07-11,0.2826,0.2419,0.2939,0.2419
35516,34.56098152985892,36.33410150896415,2026-07-12,0.2826,0.2419,0.2826,0.2419
35273,34.63692001266946,35.98876963657326,2026-07-06,0.2705,0.2574,0.2705,0.2574
35273,34.63692001266946,35.98876963657326,2026-07-07,0.2705,0.2574,0.2705,0.2574
35273,34.63692001266946,35.98876963657326,2026-07-08,0.2705,0.2574,0.3122,0.2574
35273,34.63692001266946,35.98876963657326,2026-07-09,0.2705,0.2574,0.2913,0.2574
35273,34.63692001266946,35.98876963657326,2026-07-10,0.2601,0.2475,0.2705,0.2475
35273,34.63692001266946,35.98876963657326,2026-07-11,0.2601,0.2475,0.2705,0.2475
35273,34.63692001266946,35.98876963657326,2026-07-12,0.2601,0.2475,0.2601,0.2475
35263,34.63360003873102,36.135670170569604,2026-07-06,0.2441,0.264,0.2441,0.264
35263,34.63360003873102,36.135670170569604,2026-07-07,0.2441,0.264,0.2441,0.264
35263,34.63360003873102,36.135670170569604,2026-07-08,0.2441,0.264,0.2816,0.264
35263,34.63360003873102,36.135670170569604,2026-07-09,0.2441,0.264,0.2628,0.264
35263,34.63360003873102,36.135670170569604,2026-07-10,0.2347,0.2538,0.2441,0.2538
35263,34.63360003873102,36.135670170569604,2026-07-11,0.2347,0.2538,0.2441,0.2538
35263,34.63360003873102,36.135670170569604,2026-07-12,0.2347,0.2538,0.2347,0.2538
35512,34.622775746817474,36.379017229031085,2026-07-06,0.2475,0.2631,0.2475,0.2631
35512,34.622775746817474,36.379017229031085,2026-07-07,0.2475,0.2631,0.2475,0.2631
35512,34.622775746817474,36.379017229031085,2026-07-08,0.2475,0.2631,0.2855,0.2631
35512,34.622775746817474,36.379017229031085,2026-07-09,0.2475,0.2631,0.2665,0.2631
35512,34.622775746817474,36.379017229031085,2026-07-10,0.238,0.253,0.2475,0.253
35512,34.622775746817474,36.379017229031085,2026-07-11,0.238,0.253,0.2475,0.253
35512,34.622775746817474,36.379017229031085,2026-07-12,0.238,0.253,0.238,0.253
35249,34.63652217489215,36.117937866459584,2026-07-06,0.2744,0.2564,0.2744,0.2564
35249,34.63652217489215,36.117937866459584,2026-07-07,0.2744,0.2564,0.2744,0.2564
35249,34.63652217489215,36.117937866459584,2026-07-08,0.2744,0.2564,0.3167,0.2564
35249,34.63652217489215,36.117937866459584,2026-07-09,0.2744,0.2564,0.2955,0.2564
35249,34.63652217489215,36.117937866459584,2026-07-10,0.2639,0.2465,0.2744,0.2465
35249,34.63652217489215,36.117937866459584,2026-07-11,0.2639,0.2465,0.2744,0.2465
35249,34.63652217489215,36.117937866459584,2026-07-12,0.2639,0.2465,0.2639,0.2465
35420,34.62917187751852,36.30179639095819,2026-07-06,0.2327,0.2668,0.2327,0.2668
35420,34.62917187751852,36.30179639095819,2026-07-07,0.2327,0.2668,0.2327,0.2668
35420,34.62917187751852,36.30179639095819,2026-07-08,0.2327,0.2668,0.2685,0.2668
35420,34.62917187751852,36.30179639095819,2026-07-09,0.2327,0.2668,0.2506,0.2668
35420,34.62917187751852,36.30179639095819,2026-07-10,0.2238,0.2566,0.2327,0.2566
35420,34.62917187751852,36.30179639095819,2026-07-11,0.2238,0.2566,0.2327,0.2566
35420,34.62917187751852,36.30179639095819,2026-07-12,0.2238,0.2566,0.2238,0.2566
35253,34.63166023544981,36.02134245096633,2026-07-06,0.2585,0.2604,0.2585,0.2604
35253,34.63166023544981,36.02134245096633,2026-07-07,0.2585,0.2604,0.2585,0.2604
35253,34.63166023544981,36.02134245096633,2026-07-08,0.2585,0.2604,0.2983,0.2604
35253,34.63166023544981,36.02134245096633,2026-07-09,0.2585,0.2604,0.2784,0.2604
35253,34.63166023544981,36.02134245096633,2026-07-10,0.2486,0.2503,0.2585,0.2503
35253,34.63166023544981,36.02134245096633,2026-07-11,0.2486,0.2503,0.2585,0.2503
35253,34.63166023544981,36.02134245096633,2026-07-12,0.2486,0.2503,0.2486,0.2503
35432,34.62720366724074,36.20613173993159,2026-07-06,0.2354,0.2662,0.2354,0.2662
35432,34.62720366724074,36.20613173993159,2026-07-07,0.2354,0.2662,0.2354,0.2662
35432,34.62720366724074,36.20613173993159,2026-07-08,0.2354,0.2662,0.2716,0.2662
35432,34.62720366724074,36.20613173993159,2026-07-09,0.2354,0.2662,0.2535,0.2662
35432,34.62720366724074,36.20613173993159,2026-07-10,0.2263,0.2559,0.2354,0.2559
35432,34.62720366724074,36.20613173993159,2026-07-11,0.2263,0.2559,0.2354,0.2559
35432,34.62720366724074,36.20613173993159,2026-07-12,0.2263,0.2559,0.2263,0.2559
35235,34.62139992846892,36.055414066115404,2026-07-06,0.2925,0.2519,0.2925,0.2519
35235,34.62139992846892,36.055414066115404,2026-07-07,0.2925,0.2519,0.2925,0.2519
35235,34.62139992846892,36.055414066115404,2026-07-08,0.2925,0.2519,0.3375,0.2519
35235,34.62139992846892,36.055414066115404,2026-07-09,0.2925,0.2519,0.315,0.2519
35235,34.62139992846892,36.055414066115404,2026-07-10,0.2812,0.2422,0.2925,0.2422
35235,34.62139992846892,36.055414066115404,2026-07-11,0.2812,0.2422,0.2925,0.2422
35235,34.62139992846892,36.055414066115404,2026-07-12,0.2812,0.2422,0.2812,0.2422
35498,34.57840089781167,36.30098750186408,2026-07-06,0.2641,0.259,0.2641,0.259
35498,34.57840089781167,36.30098750186408,2026-07-07,0.2641,0.259,0.2641,0.259
35498,34.57840089781167,36.30098750186408,2026-07-08,0.2641,0.259,0.3047,0.259
35498,34.57840089781167,36.30098750186408,2026-07-09,0.2641,0.259,0.2844,0.259
35498,34.57840089781167,36.30098750186408,2026-07-10,0.2539,0.249,0.2641,0.249
35498,34.57840089781167,36.30098750186408,2026-07-11,0.2539,0.249,0.2641,0.249
35498,34.57840089781167,36.30098750186408,2026-07-12,0.2539,0.249,0.2539,0.249
35231,34.59757943388032,36.03525934440559,2026-07-06,0.2997,0.2501,0.2997,0.2501
35231,34.59757943388032,36.03525934440559,2026-07-07,0.2997,0.2501,0.2997,0.2501
35231,34.59757943388032,36.03525934440559,2026-07-08,0.2997,0.2501,0.3458,0.2501
35231,34.59757943388032,36.03525934440559,2026-07-09,0.2997,0.2501,0.3227,0.2501
35231,34.59757943388032,36.03525934440559,2026-07-10,0.2882,0.2405,0.2997,0.2405
35231,34.59757943388032,36.03525934440559,2026-07-11,0.2882,0.2405,0.2997,0.2405
35231,34.59757943388032,36.03525934440559,2026-07-12,0.2882,0.2405,0.2882,0.2405
35455,34.61114041169045,36.151585394751464,2026-07-06,0.2509,0.2623,0.2509,0.2623
35455,34.61114041169045,36.151585394751464,2026-07-07,0.2509,0.2623,0.2509,0.2623
35455,34.61114041169045,36.151585394751464,2026-07-08,0.2509,0.2623,0.2895,0.2623
35455,34.61114041169045,36.151585394751464,2026-07-09,0.2509,0.2623,0.2702,0.2623
35455,34.61114041169045,36.151585394751464,2026-07-10,0.2413,0.2522,0.2509,0.2522
35455,34.61114041169045,36.151585394751464,2026-07-11,0.2413,0.2522,0.2509,0.2522
35455,34.61114041169045,36.151585394751464,2026-07-12,0.2413,0.2522,0.2413,0.2522
35213,34.59744104242188,36.07553545072016,2026-07-06,0.2783,0.2554,0.2783,0.2554
35213,34.59744104242188,36.07553545072016,2026-07-07,0.2783,0.2554,0.2783,0.2554
35213,34.59744104242188,36.07553545072016,2026-07-08,0.2783,0.2554,0.3211,0.2554
35213,34.59744104242188,36.07553545072016,2026-07-09,0.2783,0.2554,0.2997,0.2554
35213,34.59744104242188,36.07553545072016,2026-07-10,0.2676,0.2456,0.2783,0.2456
35213,34.59744104242188,36.07553545072016,2026-07-11,0.2676,0.2456,0.2783,0.2456
35213,34.59744104242188,36.07553545072016,2026-07-12,0.2676,0.2456,0.2676,0.2456
35463,34.605854397385,36.12958402664283,2026-07-06,0.29,0.2525,0.29,0.2525
35463,34.605854397385,36.12958402664283,2026-07-07,0.29,0.2525,0.29,0.2525
35463,34.605854397385,36.12958402664283,2026-07-08,0.29,0.2525,0.3346,0.2525
35463,34.605854397385,36.12958402664283,2026-07-09,0.29,0.2525,0.3123,0.2525
35463,34.605854397385,36.12958402664283,2026-07-10,0.2788,0.2428,0.29,0.2428
35463,34.605854397385,36.12958402664283,2026-07-11,0.2788,0.2428,0.29,0.2428
35463,34.605854397385,36.12958402664283,2026-07-12,0.2788,0.2428,0.2788,0.2428
35486,34.60018936619349,36.281055791913026,2026-07-06,0.2963,0.2509,0.2963,0.2509
35486,34.60018936619349,36.281055791913026,2026-07-07,0.2963,0.2509,0.2963,0.2509
35486,34.60018936619349,36.281055791913026,2026-07-08,0.2963,0.2509,0.3418,0.2509
35486,34.60018936619349,36.281055791913026,2026-07-09,0.2963,0.2509,0.319,0.2509
35486,34.60018936619349,36.281055791913026,2026-07-10,0.2849,0.2413,0.2963,0.2413
35486,34.60018936619349,36.281055791913026,2026-07-11,0.2849,0.2413,0.2963,0.2413
35486,34.60018936619349,36.281055791913026,2026-07-12,0.2849,0.2413,0.2849,0.2413
35243,34.59195332553431,36.008703557622724,2026-07-06,0.2789,0.2553,0.2789,0.2553
35243,34.59195332553431,36.008703557622724,2026-07-07,0.2789,0.2553,0.2789,0.2553
35243,34.59195332553431,36.008703557622724,2026-07-08,0.2789,0.2553,0.3218,0.2553
35243,34.59195332553431,36.008703557622724,2026-07-09,0.2789,0.2553,0.3003,0.2553
35243,34.59195332553431,36.008703557622724,2026-07-10,0.2682,0.2455,0.2789,0.2455
35243,34.59195332553431,36.008703557622724,2026-07-11,0.2682,0.2455,0.2789,0.2455
35243,34.59195332553431,36.008703557622724,2026-07-12,0.2682,0.2455,0.2682,0.2455
35459,34.596217271194796,36.137336692453744,2026-07-06,0.2525,0.2619,0.2525,0.2619
35459,34.596217271194796,36.137336692453744,2026-07-07,0.2525,0.2619,0.2525,0.2619
35459,34.596217271194796,36.137336692453744,2026-07-08,0.2525,0.2619,0.2913,0.2619
35459,34.596217271194796,36.137336692453744,2026-07-09,0.2525,0.2619,0.2719,0.2619
35459,34.596217271194796,36.137336692453744,2026-07-10,0.2428,0.2518,0.2525,0.2518
35459,34.596217271194796,36.137336692453744,2026-07-11,0.2428,0.2518,0.2525,0.2518
35459,34.596217271194796,36.137336692453744,2026-07-12,0.2428,0.2518,0.2428,0.2518
35416,34.595899492627886,36.234202570396285,2026-07-06,0.3057,0.2486,0.3057,0.2486
35416,34.595899492627886,36.234202570396285,2026-07-07,0.3057,0.2486,0.3057,0.2486
35416,34.595899492627886,36.234202570396285,2026-07-08,0.3057,0.2486,0.3528,0.2486
35416,34.595899492627886,36.234202570396285,2026-07-09,0.3057,0.2486,0.3293,0.2486
35416,34.595899492627886,36.234202570396285,2026-07-10,0.294,0.239,0.3057,0.239
35416,34.595899492627886,36.234202570396285,2026-07-11,0.294,0.239,0.3057,0.239
35416,34.595899492627886,36.234202570396285,2026-07-12,0.294,0.239,0.294,0.239
35221,34.58904253885991,36.04641675413332,2026-07-06,0.3219,0.2445,0.3219,0.2445
35221,34.58904253885991,36.04641675413332,2026-07-07,0.3219,0.2445,0.3219,0.2445
35221,34.58904253885991,36.04641675413332,2026-07-08,0.3219,0.2445,0.3714,0.2445
35221,34.58904253885991,36.04641675413332,2026-07-09,0.3219,0.2445,0.3466,0.2445
35221,34.58904253885991,36.04641675413332,2026-07-10,0.3095,0.2351,0.3219,0.2351
35221,34.58904253885991,36.04641675413332,2026-07-11,0.3095,0.2351,0.3219,0.2351
35221,34.58904253885991,36.04641675413332,2026-07-12,0.3095,0.2351,0.3095,0.2351
35211,34.58461094396831,36.07034153349794,2026-07-06,0.2559,0.261,0.2559,0.261
35211,34.58461094396831,36.07034153349794,2026-07-07,0.2559,0.261,0.2559,0.261
35211,34.58461094396831,36.07034153349794,2026-07-08,0.2559,0.261,0.2952,0.261
35211,34.58461094396831,36.07034153349794,2026-07-09,0.2559,0.261,0.2756,0.261
35211,34.58461094396831,36.07034153349794,2026-07-10,0.246,0.251,0.2559,0.251
35211,34.58461094396831,36.07034153349794,2026-07-11,0.246,0.251,0.2559,0.251
35211,34.58461094396831,36.07034153349794,2026-07-12,0.246,0.251,0.246,0.251
35427,34.5898426637976,36.198798876600506,2026-07-06,0.287,0.2533,0.287,0.2533
35427,34.5898426637976,36.198798876600506,2026-07-07,0.287,0.2533,0.287,0.2533
35427,34.5898426637976,36.198798876600506,2026-07-08,0.287,0.2533,0.3311,0.2533
35427,34.5898426637976,36.198798876600506,2026-07-09,0.287,0.2533,0.3091,0.2533
35427,34.5898426637976,36.198798876600506,2026-07-10,0.2759,0.2435,0.287,0.2435
35427,34.5898426637976,36.198798876600506,2026-07-11,0.2759,0.2435,0.287,0.2435
35427,34.5898426637976,36.198798876600506,2026-07-12,0.2759,0.2435,0.2759,0.2435
35457,34.583203741954335,36.14730732417339,2026-07-06,0.2589,0.2603,0.2589,0.2603
35457,34.583203741954335,36.14730732417339,2026-07-07,0.2589,0.2603,0.2589,0.2603
35457,34.583203741954335,36.14730732417339,2026-07-08,0.2589,0.2603,0.2987,0.2603
35457,34.583203741954335,36.14730732417339,2026-07-09,0.2589,0.2603,0.2788,0.2603
35457,34.583203741954335,36.14730732417339,2026-07-10,0.2489,0.2503,0.2589,0.2503
35457,34.583203741954335,36.14730732417339,2026-07-11,0.2489,0.2503,0.2589,0.2503
35457,34.583203741954335,36.14730732417339,2026-07-12,0.2489,0.2503,0.2489,0.2503
35417,34.58781402740293,36.21824188349425,2026-07-06,0.2585,0.2604,0.2585,0.2604
35417,34.58781402740293,36.21824188349425,2026-07-07,0.2585,0.2604,0.2585,0.2604
35417,34.58781402740293,36.21824188349425,2026-07-08,0.2585,0.2604,0.2983,0.2604
35417,34.58781402740293,36.21824188349425,2026-07-09,0.2585,0.2604,0.2784,0.2604
35417,34.58781402740293,36.21824188349425,2026-07-10,0.2485,0.2504,0.2585,0.2504
35417,34.58781402740293,36.21824188349425,2026-07-11,0.2485,0.2504,0.2585,0.2504
35417,34.58781402740293,36.21824188349425,2026-07-12,0.2485,0.2504,0.2485,0.2504
35219,34.58660624305498,36.09960688549272,2026-07-06,0.2773,0.2557,0.2773,0.2557
35219,34.58660624305498,36.09960688549272,2026-07-07,0.2773,0.2557,0.2773,0.2557
35219,34.58660624305498,36.09960688549272,2026-07-08,0.2773,0.2557,0.3199,0.2557
35219,34.58660624305498,36.09960688549272,2026-07-09,0.2773,0.2557,0.2986,0.2557
35219,34.58660624305498,36.09960688549272,2026-07-10,0.2666,0.2459,0.2773,0.2459
35219,34.58660624305498,36.09960688549272,2026-07-11,0.2666,0.2459,0.2773,0.2459
35219,34.58660624305498,36.09960688549272,2026-07-12,0.2666,0.2459,0.2666,0.2459
35487,34.549641855902316,36.27136344749843,2026-07-06,0.2681,0.258,0.2681,0.258
35487,34.549641855902316,36.27136344749843,2026-07-07,0.2681,0.258,0.2681,0.258
35487,34.549641855902316,36.27136344749843,2026-07-08,0.2681,0.258,0.3094,0.258
35487,34.549641855902316,36.27136344749843,2026-07-09,0.2681,0.258,0.2888,0.258
35487,34.549641855902316,36.27136344749843,2026-07-10,0.2578,0.248,0.2681,0.248
35487,34.549641855902316,36.27136344749843,2026-07-11,0.2578,0.248,0.2681,0.248
35487,34.549641855902316,36.27136344749843,2026-07-12,0.2578,0.248,0.2578,0.248
35215,34.58360365481516,36.08897367378834,2026-07-06,0.2343,0.2664,0.2343,0.2664
35215,34.58360365481516,36.08897367378834,2026-07-07,0.2343,0.2664,0.2343,0.2664
35215,34.58360365481516,36.08897367378834,2026-07-08,0.2343,0.2664,0.2704,0.2664
35215,34.58360365481516,36.08897367378834,2026-07-09,0.2343,0.2664,0.2524,0.2664
35215,34.58360365481516,36.08897367378834,2026-07-10,0.2253,0.2562,0.2343,0.2562
35215,34.58360365481516,36.08897367378834,2026-07-11,0.2253,0.2562,0.2343,0.2562
35215,34.58360365481516,36.08897367378834,2026-07-12,0.2253,0.2562,0.2253,0.2562
35467,34.582584922740395,36.1152122936153,2026-07-06,0.3041,0.249,0.3041,0.249
35467,34.582584922740395,36.1152122936153,2026-07-07,0.3041,0.249,0.3041,0.249
35467,34.582584922740395,36.1152122936153,2026-07-08,0.3041,0.249,0.3508,0.249
35467,34.582584922740395,36.1152122936153,2026-07-09,0.3041,0.249,0.3274,0.249
35467,34.582584922740395,36.1152122936153,2026-07-10,0.2924,0.2394,0.3041,0.2394
35467,34.582584922740395,36.1152122936153,2026-07-11,0.2924,0.2394,0.3041,0.2394
35467,34.582584922740395,36.1152122936153,2026-07-12,0.2924,0.2394,0.2924,0.2394
35447,34.57658905762771,36.16102088412828,2026-07-06,0.3074,0.2481,0.3074,0.2481
35447,34.57658905762771,36.16102088412828,2026-07-07,0.3074,0.2481,0.3074,0.2481
35447,34.57658905762771,36.16102088412828,2026-07-08,0.3074,0.2481,0.3547,0.2481
35447,34.57658905762771,36.16102088412828,2026-07-09,0.3074,0.2481,0.3311,0.2481
35447,34.57658905762771,36.16102088412828,2026-07-10,0.2956,0.2386,0.3074,0.2386
35447,34.57658905762771,36.16102088412828,2026-07-11,0.2956,0.2386,0.3074,0.2386
35447,34.57658905762771,36.16102088412828,2026-07-12,0.2956,0.2386,0.2956,0.2386
35411,34.57501556030366,36.23673347616448,2026-07-06,0.2673,0.2582,0.2673,0.2582
35411,34.57501556030366,36.23673347616448,2026-07-07,0.2673,0.2582,0.2673,0.2582
35411,34.57501556030366,36.23673347616448,2026-07-08,0.2673,0.2582,0.3085,0.2582
35411,34.57501556030366,36.23673347616448,2026-07-09,0.2673,0.2582,0.2879,0.2582
35411,34.57501556030366,36.23673347616448,2026-07-10,0.2571,0.2482,0.2673,0.2482
35411,34.57501556030366,36.23673347616448,2026-07-11,0.2571,0.2482,0.2673,0.2482
35411,34.57501556030366,36.23673347616448,2026-07-12,0.2571,0.2482,0.2571,0.2482
35431,34.579733730961046,36.18769609367565,2026-07-06,0.2719,0.257,0.2719,0.257
35431,34.579733730961046,36.18769609367565,2026-07-07,0.2719,0.257,0.2719,0.257
35431,34.579733730961046,36.18769609367565,2026-07-08,0.2719,0.257,0.3137,0.257
35431,34.579733730961046,36.18769609367565,2026-07-09,0.2719,0.257,0.2928,0.257
35431,34.579733730961046,36.18769609367565,2026-07-10,0.2614,0.2472,0.2719,0.2472
35431,34.579733730961046,36.18769609367565,2026-07-11,0.2614,0.2472,0.2719,0.2472
35431,34.579733730961046,36.18769609367565,2026-07-12,0.2614,0.2472,0.2614,0.2472
35216,34.56645105450875,36.09433410463921,2026-07-06,0.2297,0.2676,0.2297,0.2676
35216,34.56645105450875,36.09433410463921,2026-07-07,0.2297,0.2676,0.2297,0.2676
35216,34.56645105450875,36.09433410463921,2026-07-08,0.2297,0.2676,0.265,0.2676
35216,34.56645105450875,36.09433410463921,2026-07-09,0.2297,0.2676,0.2473,0.2676
35216,34.56645105450875,36.09433410463921,2026-07-10,0.2208,0.2573,0.2297,0.2573
35216,34.56645105450875,36.09433410463921,2026-07-11,0.2208,0.2573,0.2297,0.2573
35216,34.56645105450875,36.09433410463921,2026-07-12,0.2208,0.2573,0.2208,0.2573
35433,34.57435694790001,36.183833449395806,2026-07-06,0.3133,0.2467,0.3133,0.2467
35433,34.57435694790001,36.183833449395806,2026-07-07,0.3133,0.2467,0.3133,0.2467
35433,34.57435694790001,36.183833449395806,2026-07-08,0.3133,0.2467,0.3615,0.2467
35433,34.57435694790001,36.183833449395806,2026-07-09,0.3133,0.2467,0.3374,0.2467
35433,34.57435694790001,36.183833449395806,2026-07-10,0.3013,0.2372,0.3133,0.2372
35433,34.57435694790001,36.183833449395806,2026-07-11,0.3013,0.2372,0.3133,0.2372
35433,34.57435694790001,36.183833449395806,2026-07-12,0.3013,0.2372,0.3013,0.2372
35441,34.56763259752964,36.179460305352556,2026-07-06,0.2362,0.266,0.2362,0.266
35441,34.56763259752964,36.179460305352556,2026-07-07,0.2362,0.266,0.2362,0.266
35441,34.56763259752964,36.179460305352556,2026-07-08,0.2362,0.266,0.2725,0.266
35441,34.56763259752964,36.179460305352556,2026-07-09,0.2362,0.266,0.2543,0.266
35441,34.56763259752964,36.179460305352556,2026-07-10,0.2271,0.2557,0.2362,0.2557
35441,34.56763259752964,36.179460305352556,2026-07-11,0.2271,0.2557,0.2362,0.2557
35441,34.56763259752964,36.179460305352556,2026-07-12,0.2271,0.2557,0.2271,0.2557
35223,34.56904281775035,36.10699207070995,2026-07-06,0.2827,0.2543,0.2827,0.2543
35223,34.56904281775035,36.10699207070995,2026-07-07,0.2827,0.2543,0.2827,0.2543
35223,34.56904281775035,36.10699207070995,2026-07-08,0.2827,0.2543,0.3262,0.2543
35223,34.56904281775035,36.10699207070995,2026-07-09,0.2827,0.2543,0.3045,0.2543
35223,34.56904281775035,36.10699207070995,2026-07-10,0.2718,0.2445,0.2827,0.2445
35223,34.56904281775035,36.10699207070995,2026-07-11,0.2718,0.2445,0.2827,0.2445
35223,34.56904281775035,36.10699207070995,2026-07-12,0.2718,0.2445,0.2718,0.2445
35157,34.56768274677897,36.13702881094737,2026-07-06,0.2436,0.2641,0.2436,0.2641
35157,34.56768274677897,36.13702881094737,2026-07-07,0.2436,0.2641,0.2436,0.2641
35157,34.56768274677897,36.13702881094737,2026-07-08,0.2436,0.2641,0.2811,0.2641
35157,34.56768274677897,36.13702881094737,2026-07-09,0.2436,0.2641,0.2624,0.2641
